Wind Load Type,Glass Type,Glass sub-type 1,Nominal Thickness (mm),Support Condition,AR,k1,k2,k3,k4
ULS,Laminated,Annealed,8,4-edge,2,3280.9,0.335714,-0.7642,-30.4
ULS,Laminated,Annealed,8,4-edge,2.5,2831.3,0.251785,-0.7255,7.6
ULS,Laminated,Annealed,8,4-edge,3,1663.5,-0.25179,-0.4881,-22.8
ULS,Laminated,Annealed,8,4-edge,5,1630.6,0,-0.5,0
ULS,Laminated,Annealed,8,2-edge,Independent,1456.1,0,-0.5,0
ULS,Laminated,Annealed,10,4-edge,1,4666.6,0.200421,-0.6124,14.4
ULS,Laminated,Annealed,10,4-edge,1.25,4117,0.160337,-0.6071,-4.8
ULS,Laminated,Annealed,10,4-edge,1.5,3907.1,0.160337,-0.6423,-77.76
ULS,Laminated,Annealed,10,4-edge,1.75,3935.8,0.240505,-0.7112,-43.2
ULS,Laminated,Annealed,10,4-edge,2,4001.6,0.320673,-0.7642,-38.4
ULS,Laminated,Annealed,10,4-edge,2.5,3459.4,0.240505,-0.7255,9.6
ULS,Laminated,Annealed,10,4-edge,3,2054.7,-0.24051,-0.4881,-28.8
ULS,Laminated,Annealed,10,4-edge,5,2013,0,-0.5,0
ULS,Laminated,Annealed,10,2-edge,Independent,1797.6,0,-0.5,0
ULS,Laminated,Annealed,12,4-edge,1,5506.6,0.192806,-0.6124,17.4
ULS,Laminated,Annealed,12,4-edge,1.25,4859.1,0.154245,-0.6071,-5.8
ULS,Laminated,Annealed,12,4-edge,1.5,4605.1,0.154245,-0.6423,-93.96
ULS,Laminated,Annealed,12,4-edge,1.75,4626.5,0.231367,-0.7112,-52.2
ULS,Laminated,Annealed,12,4-edge,2,4694.2,0.30849,-0.7642,-46.4
ULS,Laminated,Annealed,12,4-edge,2.5,4064.3,0.231367,-0.7255,11.6
ULS,Laminated,Annealed,12,4-edge,3,2436.3,-0.23137,-0.4881,-34.8
ULS,Laminated,Annealed,12,4-edge,5,2385.7,0,-0.5,0
ULS,Laminated,Annealed,12,2-edge,Independent,2130.4,0,-0.5,0
ULS,Laminated,Annealed,16,4-edge,1,7042.7,0.181404,-0.6124,23.1
ULS,Laminated,Annealed,16,4-edge,1.25,6216.4,0.145123,-0.6071,-7.7
ULS,Laminated,Annealed,16,4-edge,1.5,5879,0.145123,-0.6423,-124.74
ULS,Laminated,Annealed,16,4-edge,1.75,5881.5,0.217685,-0.7112,-69.3
ULS,Laminated,Annealed,16,4-edge,2,5948.3,0.290247,-0.7642,-61.6
ULS,Laminated,Annealed,16,4-edge,2.5,5162.3,0.217685,-0.7255,15.4
ULS,Laminated,Annealed,16,4-edge,3,3139.6,-0.21769,-0.4881,-46.2
ULS,Laminated,Annealed,16,4-edge,5,3072.2,0,-0.5,0
ULS,Laminated,Annealed,16,2-edge,Independent,2743.4,0,-0.5,0
ULS,Laminated,Annealed,20,4-edge,1,8590.8,0.172113,-0.6124,29.1
ULS,Laminated,Annealed,20,4-edge,1.25,7585.1,0.13769,-0.6071,-9.7
ULS,Laminated,Annealed,20,4-edge,1.5,7160,0.13769,-0.6423,-157.14
ULS,Laminated,Annealed,20,4-edge,1.75,7137.2,0.206536,-0.7112,-87.3
ULS,Laminated,Annealed,20,4-edge,2,7198.3,0.275381,-0.7642,-77.6
ULS,Laminated,Annealed,20,4-edge,2.5,6259.8,0.206536,-0.7255,19.4
ULS,Laminated,Annealed,20,4-edge,3,3854.9,-0.20654,-0.4881,-58.2
ULS,Laminated,Annealed,20,4-edge,5,3769.7,0,-0.5,0
ULS,Laminated,Annealed,20,2-edge,Independent,3366.3,0,-0.5,0
ULS,Laminated,Annealed,24,4-edge,1,10081.6,0.16457,-0.6124,35.1
ULS,Laminated,Annealed,24,4-edge,1.25,8903.5,0.131656,-0.6071,-11.7
ULS,Laminated,Annealed,24,4-edge,1.5,8391.3,0.131656,-0.6423,-189.54
ULS,Laminated,Annealed,24,4-edge,1.75,8338.8,0.197484,-0.7112,-105.3
ULS,Laminated,Annealed,24,4-edge,2,8390.1,0.263312,-0.7642,-93.6
ULS,Laminated,Annealed,24,4-edge,2.5,7308.9,0.197484,-0.7255,23.4
ULS,Laminated,Annealed,24,4-edge,3,4549.1,-0.19748,-0.4881,-70.2
ULS,Laminated,Annealed,24,4-edge,5,4446.2,0,-0.5,0
ULS,Laminated,Annealed,24,2-edge,Independent,3970.4,0,-0.5,0
SLS,All,All,All,4-edge,1,603.79,-0.1,-0.5247,1.64
